48,47,46,45,44,43,42,41,40,39,38,37,36,35,34,33,32,31,30,29,28,27,26,25,24,23,22,21,20,19,18,17,16,15,14,13,12,11,10,9,8,7,6,5,4,3,2,1,0
,,,0.0,2.0,2.0,0.0,,2.0,,,,,,,,0.0,0.0,,,3.0,,,,,,,,,,,,0.0,,,2.0,,,,,,,,,,,,,
23.0,19.0,27.0,13.0,31.0,12.0,20.0,29.0,20.0,,,,,,25.0,27.0,26.0,,28.0,30.0,22.0,25.0,33.0,2.0,,,,,,,29.0,27.0,30.0,24.0,19.0,,,,8.0,,,,,,18.0,17.0,22.0,17.0,16.0
14.0,6.0,9.0,16.0,9.0,4.0,7.0,11.0,3.0,12.0,6.0,14.0,9.0,7.0,5.0,0.0,3.0,13.0,5.0,6.0,9.0,2.0,7.0,0.0,6.0,,,22.0,22.0,14.0,5.0,6.0,4.0,,,,0.0,0.0,0.0,14.0,,0.0,,,,,8.0,8.0,
15.0,14.0,18.0,20.0,22.0,17.0,32.0,30.0,14.0,10.0,19.0,,31.0,25.0,27.0,20.0,12.0,21.0,18.0,21.0,41.0,27.0,21.0,27.0,28.0,29.0,30.0,20.0,,19.0,21.0,,,7.0,24.0,22.0,30.0,22.0,22.0,14.0,23.0,,21.0,32.0,22.0,17.0,,,
,,,2.0,,6.0,,,0.0,9.0,17.0,2.0,9.0,10.0,4.0,,5.0,8.0,7.0,9.0,10.0,5.0,3.0,8.0,4.0,19.0,17.0,11.0,12.0,7.0,7.0,2.0,11.0,,,0.0,0.0,2.0,2.0,9.0,4.0,6.0,5.0,3.0,,,,5.0,
4.0,6.0,2.0,9.0,7.0,6.0,0.0,5.0,4.0,4.0,3.0,12.0,13.0,21.0,12.0,3.0,12.0,12.0,8.0,10.0,6.0,7.0,0.0,7.0,10.0,14.0,11.0,8.0,9.0,11.0,8.0,16.0,,,7.0,8.0,13.0,11.0,12.0,4.0,4.0,9.0,3.0,6.0,14.0,0.0,15.0,10.0,15.0
,,0.0,,9.0,3.0,,,0.0,0.0,18.0,,,0.0,,10.0,13.0,,9.0,,5.0,4.0,0.0,,15.0,,,,,,,,,,6.0,,,,,23.0,15.0,,,15.0,14.0,,,12.0,12.0
,,,,0.0,,,,,,,,0.0,,,,,,,,0.0,,,,,,,,,,,,,,,0.0,,2.0,0.0,0.0,,,,,,,,0.0,
,,,0.0,0.0,2.0,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.0,2.0,2.0,2.0,3.0,10.0,11.0,2.0,8.0,0.0,6.0,2.0,0.0,,,,,2.0,2.0,5.0,4.0,0.0,2.0,0.0,0.0,0.0,4.0,0.0,6.0,0.0,,,3.0,,,0.0,0.0,2.0,2.0,0.0,2.0,18.0,,,,0.0,,,
12.0,2.0,2.0,9.0,10.0,0.0,1.0,10.0,4.0,9.0,5.0,11.0,2.0,5.0,2.0,0.0,4.0,4.0,6.0,4.0,6.0,4.0,10.0,19.0,10.0,7.0,0.0,10.0,11.0,6.0,12.0,12.0,13.0,6.0,8.0,14.0,11.0,17.0,11.0,15.0,13.0,,6.0,14.0,6.0,14.0,9.0,9.0,21.0
7.0,9.0,13.0,9.0,5.0,3.0,19.0,6.0,4.0,18.0,8.0,6.0,5.0,10.0,11.0,6.0,,,,16.0,7.0,4.0,12.0,14.0,17.0,7.0,,,20.0,12.0,7.0,9.0,5.0,16.0,8.0,12.0,12.0,7.0,8.0,10.0,13.0,17.0,,17.0,13.0,10.0,13.0,,10.0
,,,,,,,,2.0,6.0,8.0,7.0,18.0,12.0,2.0,17.0,14.0,8.0,5.0,8.0,11.0,8.0,14.0,16.0,10.0,8.0,7.0,9.0,16.0,7.0,6.0,6.0,12.0,9.0,8.0,7.0,11.0,12.0,12.0,7.0,17.0,6.0,13.0,5.0,5.0,8.0,14.0,7.0,12.0
22.0,26.0,11.0,25.0,18.0,9.0,9.0,18.0,19.0,12.0,20.0,36.0,23.0,9.0,18.0,21.0,28.0,33.0,28.0,,23.0,25.0,14.0,26.0,21.0,27.0,35.0,20.0,24.0,17.0,22.0,29.0,21.0,32.0,14.0,22.0,23.0,10.0,20.0,23.0,19.0,21.0,40.0,16.0,27.0,25.0,30.0,33.0,10.0
8.0,6.0,7.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,7.0,3.0,3.0,7.0,4.0,9.0,4.0,4.0,6.0,9.0,11.0,15.0,10.0,5.0,8.0
,,,0.0,,7.0,2.0,,4.0,2.0,0.0,,,,,0.0,2.0,4.0,,12.0,,,0.0,0.0,5.0,0.0,0.0,0.0,8.0,,0.0,6.0,6.0,8.0,7.0,7.0,,,,,4.0,9.0,5.0,,0.0,2.0,0.0,2.0,9.0
