NAME,POS,TEAM
Donovan Williams,G,ATL
Frank Kaminsky,F-C,ATL
Jalen Johnson,F,ATL
Trent Forrest,G,ATL
Aaron Holiday,G,ATL
Dejounte Murray,G,ATL
Justin Holiday,F-G,ATL
Trae Young,G,ATL
De'Andre Hunter,F-G,ATL
Bogdan Bogdanovic,G,ATL
AJ Griffin,F,ATL
Clint Capela,C,ATL
Onyeka Okongwu,F-C,ATL
John Collins,F-C,ATL
Tyrese Martin,G,ATL
Vit Krejci,G,ATL
Jayson Tatum,F-G,BOS
Jaylen Brown,G-F,BOS
Danilo Gallinari,F,BOS
Derrick White,G,BOS
Payton Pritchard,G,BOS
Grant Williams,F,BOS
Malcolm Brogdon,G,BOS
JD Davison,G,BOS
Mfiondu Kabengele,C,BOS
Sam Hauser,F,BOS
Marcus Smart,G,BOS
Luke Kornet,C-F,BOS
Al Horford,C-F,BOS
Justin Jackson,F,BOS
Robert Williams III,C-F,BOS
Blake Griffin,F,BOS
Kevin Love,F-C,CLE
Caris LeVert,G,CLE
Evan Mobley,C,CLE
Lamar Stevens,F,CLE
Dylan Windler,G-F,CLE
Darius Garland,G,CLE
Ricky Rubio,G,CLE
Isaiah Mobley,F,CLE
Cedi Osman,F,CLE
Raul Neto,G,CLE
Mamadi Diakite,F,CLE
Jarrett Allen,C,CLE
Dean Wade,F-C,CLE
Robin Lopez,C,CLE
Isaac Okoro,F-G,CLE
Donovan Mitchell,G,CLE
E.J. Liddell,F,NOP
Dereon Seabron,G,NOP
Zion Williamson,F,NOP
CJ McCollum,G,NOP
Devonte' Graham,G,NOP
Herbert Jones,F,NOP
Naji Marshall,F,NOP
Willy Hernangomez,C-F,NOP
Jaxson Hayes,C-F,NOP
Dyson Daniels,G,NOP
Kira Lewis Jr.,G,NOP
Brandon Ingram,F,NOP
Jose Alvarado,G,NOP
Jonas Valanciunas,C,NOP
Larry Nance Jr.,F-C,NOP
Trey Murphy III,F,NOP
Garrett Temple,G-F,NOP
Coby White,G,CHI
Lonzo Ball,G,CHI
Andre Drummond,C,CHI
Derrick Jones Jr.,F,CHI
Alex Caruso,G,CHI
Goran Dragic,G,CHI
Zach LaVine,G-F,CHI
Nikola Vucevic,C,CHI
DeMar DeRozan,G-F,CHI
Ayo Dosunmu,G,CHI
Tony Bradley,C-F,CHI
Malcolm Hill,F,CHI
Marko Simonovic,C,CHI
Carlik Jones,G,CHI
Javonte Green,G-F,CHI
Dalen Terry,F,CHI
Patrick Williams,F,CHI
A.J. Lawson,G,DAL
JaVale McGee,C-F,DAL
Theo Pinson,G-F,DAL
Jaden Hardy,G,DAL
Dwight Powell,F-C,DAL
Josh Green,G,DAL
Dorian Finney-Smith,F,DAL
Tim Hardaway Jr.,G-F,DAL
Frank Ntilikina,G,DAL
McKinley Wright IV,G,DAL
Reggie Bullock,G-F,DAL
Spencer Dinwiddie,G,DAL
Christian Wood,F,DAL
Maxi Kleber,F,DAL
Davis Bertans,F,DAL
Luka Doncic,F-G,DAL
Christian Braun,G,DEN
Michael Porter Jr.,F,DEN
Bones Hyland,G,DEN
Kentavious Caldwell-Pope,G,DEN
DeAndre Jordan,C,DEN
Peyton Watson,G,DEN
Davon Reed,G,DEN
Jack White,F,DEN
Bruce Brown,G-F,DEN
Ish Smith,G,DEN
Nikola Jokic,C,DEN
Collin Gillespie,G,DEN
Zeke Nnaji,F-C,DEN
Jamal Murray,G,DEN
Vlatko Cancar,F,DEN
Jeff Green,F,DEN
Aaron Gordon,F,DEN
Jonathan Kuminga,F,GSW
Donte DiVincenzo,G,GSW
JaMychal Green,F-C,GSW
Ryan Rollins,G,GSW
Jordan Poole,G,GSW
Moses Moody,G,GSW
Kevon Looney,F,GSW
Patrick Baldwin Jr.,F,GSW
Andre Iguodala,G-F,GSW
Ty Jerome,G-F,GSW
Klay Thompson,G,GSW
Andrew Wiggins,F,GSW
Draymond Green,F,GSW
Stephen Curry,G,GSW
James Wiseman,C,GSW
Anthony Lamb,F,GSW
TyTy Washington Jr.,G,HOU
Jabari Smith Jr.,F,HOU
Kevin Porter Jr.,G-F,HOU
Jalen Green,G,HOU
Darius Days,F,HOU
Kenyon Martin Jr.,F,HOU
Jae'Sean Tate,F,HOU
Josh Christopher,G,HOU
Eric Gordon,G,HOU
Trevor Hudgins,G,HOU
Daishen Nix,G,HOU
Usman Garuba,F,HOU
Tari Eason,F,HOU
Bruno Fernando,F-C,HOU
Garrison Mathews,G,HOU
Alperen Sengun,C,HOU
Boban Marjanovic,C,HOU
Reggie Jackson,G,LAC
Kawhi Leonard,F,LAC
Brandon Boston Jr.,G,LAC
Luke Kennard,G,LAC
Moses Brown,C,LAC
Amir Coffey,G-F,LAC
Marcus Morris Sr.,F,LAC
John Wall,G,LAC
Paul George,F,LAC
Terance Mann,G-F,LAC
Jason Preston,G,LAC
Robert Covington,F,LAC
Norman Powell,G,LAC
Moussa Diabate,F,LAC
Nicolas Batum,G-F,LAC
Ivica Zubac,C,LAC
Russell Westbrook,G,LAL
Anthony Davis,F-C,LAL
Lonnie Walker IV,G-F,LAL
LeBron James,F,LAL
Troy Brown Jr.,G-F,LAL
Rui Hachimura,F,LAL
Max Christie,G,LAL
Scotty Pippen Jr.,G,LAL
Austin Reaves,G,LAL
Dennis Schroder,G,LAL
Cole Swider,F,LAL
Patrick Beverley,G,LAL
Damian Jones,C,LAL
Thomas Bryant,C-F,LAL
Wenyen Gabriel,F,LAL
Juan Toscano-Anderson,F,LAL
Gabe Vincent,G,MIA
Victor Oladipo,G,MIA
Nikola Jovic,F,MIA
Kyle Lowry,G,MIA
Jamal Cain,F,MIA
Bam Adebayo,C-F,MIA
Tyler Herro,G,MIA
Caleb Martin,F,MIA
Dewayne Dedmon,C,MIA
Jimmy Butler,F,MIA
Haywood Highsmith,F,MIA
Orlando Robinson,C,MIA
Max Strus,G-F,MIA
Udonis Haslem,F,MIA
Duncan Robinson,F,MIA
Omer Yurtseven,C,MIA
MarJon Beauchamp,F,MIL
George Hill,G,MIL
Jevon Carter,G,MIL
Joe Ingles,F-G,MIL
Bobby Portis,F,MIL
Brook Lopez,C,MIL
Grayson Allen,G,MIL
Jordan Nwora,F,MIL
AJ Green,G,MIL
Jrue Holiday,G,MIL
Khris Middleton,F,MIL
Wesley Matthews,G,MIL
Pat Connaughton,G,MIL
Serge Ibaka,F,MIL
Giannis Antetokounmpo,F,MIL
Thanasis Antetokounmpo,F,MIL
Sandro Mamukelashvili,F-C,MIL
D'Angelo Russell,G,MIN
Anthony Edwards,G,MIN
Jaden McDaniels,F,MIN
Jaylen Nowell,G,MIN
Kyle Anderson,F-G,MIN
Jordan McLaughlin,G,MIN
Wendell Moore Jr.,G,MIN
Josh Minott,F,MIN
Bryn Forbes,G,MIN
Naz Reid,C-F,MIN
Taurean Prince,F,MIN
Nathan Knight,F-C,MIN
Austin Rivers,G,MIN
Rudy Gobert,C,MIN
Karl-Anthony Towns,C-F,MIN
Matt Ryan,F,MIN
Luka Garza,C,MIN
